,ID,Description,GeneRatio,BgRatio,pvalue,p.adjust,qvalue,geneID,Count
umls:C0333997,umls:C0333997,Lymphoid hyperplasia,4/250,26/17381,0.000486921,0.013376277,0.010262679,IFNG/CXCL13/ICOS/PDLIM7,4
umls:C0345967,umls:C0345967,Malignant mesothelioma,12/250,266/17381,0.000490646,0.013376277,0.010262679,CSF1/IFNG/VCAM1/IL2RB/TNFRSF1B/CD7/CCND2/EID1/STAT3/CTNNB1/MCL1/CAT,12
umls:C0014038,umls:C0014038,Encephalitis,8/250,127/17381,0.000503935,0.013376277,0.010262679,CCL3/IFNG/CD38/VCAM1/CASP3/STAT3/TBK1/CTSB,8
umls:C0042749,umls:C0042749,Viremia,6/250,70/17381,0.00050663,0.013376277,0.010262679,HAVCR2/PDCD1/IFNG/CD38/IRF2/IRF9,6
umls:C0311375,umls:C0311375,Arsenic Poisoning,6/250,70/17381,0.00050663,0.013376277,0.010262679,RGS1/NR4A2/ID2/PELI1/PON2/GSTO1,6
umls:C0023452,umls:C0023452,"Leukemia, Lymphocytic, Acute, L1",15/250,388/17381,0.0005204,0.013574289,0.0104146,HLA-DRA/IFNG/CD38/ARID5B/FASLG/BCL2L11/CCND2/IKZF3/PTPN11/MTHFD1/TFRC/CASP3/GATA3/MCL1/GSTO1,15
umls:C0002895,umls:C0002895,"Anemia, Sickle Cell",11/250,232/17381,0.000554844,0.01424267,0.010927402,TOX/IFNG/CD38/GAPDH/VCAM1/PHEX/HMOX1/TFRC/CASP3/CALM3/ANXA5,11
umls:C0011065,umls:C0011065,Cessation of life,8/250,129/17381,0.000559181,0.01424267,0.010927402,CXCR6/IFNG/GAPDH/CD82/CASP3/CTNNB1/MCL1/CTSB,8
umls:C0040147,umls:C0040147,Thyroiditis,7/250,99/17381,0.000566512,0.014261602,0.010941927,CTLA4/IFNG/ICOS/PTPN22/FASLG/STAT3/SRI,7
umls:C0026691,umls:C0026691,Mucocutaneous Lymph Node Syndrome,10/250,197/17381,0.000581667,0.014456516,0.011091471,CTLA4/IFNG/MIR155/VCAM1/TNFAIP3/CD84/PELI1/CASP3/GATA3/SP140,10
umls:C0015403,umls:C0015403,Eye Infections,3/250,12/17381,0.000587609,0.014456516,0.011091471,IFNG/MIR155/LAT2,3
umls:C0549463,umls:C0549463,X-Linked Lymphoproliferative Disorder,5/250,49/17381,0.000673048,0.016059812,0.012321567,LYST/IFNG/ICOS/RAB27A/CD84,5
umls:C1512326,umls:C1512326,Human T-cell lymphotropic virus 1 infection,5/250,49/17381,0.000673048,0.016059812,0.012321567,CTLA4/CD38/TNFRSF1B/BCL2L11/AHI1,5
umls:C0020456,umls:C0020456,Hyperglycemia,16/250,441/17381,0.00067877,0.016059812,0.012321567,CTLA4/CSF1/SARDH/IFNG/CREM/HLA-DMA/VCAM1/GLDC/PAM/RNF19A/HMOX1/TFRC/GALNT2/NFAT5/LDHA/CAT,16
umls:C0027686,umls:C0027686,Pathologic Neovascularization,6/250,74/17381,0.000682449,0.016059812,0.012321567,PDCD1/IFNG/TNFRSF1B/FASLG/BCL2L11/CASP3,6
umls:C0035435,umls:C0035435,Rheumatism,7/250,103/17381,0.000718308,0.016559085,0.012704624,IFNG/KIR2DL4/TNFRSF1B/PTPN22/EPSTI1/PDLIM7/LY6E,7
umls:C0333307,umls:C0333307,Superficial ulcer,8/250,134/17381,0.000718963,0.016559085,0.012704624,CSF1/CXCL13/HLA-DMA/VCAM1/IL2RB/ACP5/PTPN22/CTSB,8
umls:C0376544,umls:C0376544,Hematopoietic Neoplasms,9/250,168/17381,0.000742094,0.016790564,0.012882222,SAMSN1/HMOX1/CCND2/PTPN7/TFRC/CTNNA1/STAT3/CALM3/TET2,9
umls:C0000833,umls:C0000833,Abscess,4/250,29/17381,0.000747845,0.016790564,0.012882222,CCL3/IFNG/PSTPIP1/CAT,4
umls:C0752124,umls:C0752124,Spinocerebellar Ataxia Type 6 (disorder),3/250,13/17381,0.000755798,0.016790564,0.012882222,ATXN1/LY6E/CASP3,3
umls:C0039103,umls:C0039103,Synovitis,7/250,104/17381,0.000760873,0.016790564,0.012882222,CSF1/IFNG/ACP5/PTPN22/TNFAIP3/TYMP/STAT3,7
umls:C0032285,umls:C0032285,Pneumonia,15/250,403/17381,0.00076779,0.016790564,0.012882222,CTLA4/CCL3/IFNG/CXCL13/ICOS/VCAM1/IL2RB/TNFRSF1B/TNFSF4/LSP1/HMOX1/SEMA4A/STAT3/GATA3/MCL1,15
umls:C0085129,umls:C0085129,Bronchial Hyperreactivity,9/250,170/17381,0.000807441,0.01748109,0.013412014,CTLA4/CD27/HLA-DRA/IFNG/ICOS/VCAM1/IL2RB/IRF2/GATA3,9
umls:C0030305,umls:C0030305,Pancreatitis,10/250,208/17381,0.000884255,0.018768737,0.014399935,CTLA4/IFNG/CD38/TYMP/HMOX1/CASP3/STAT3/VMP1/CAT/CTSB,10
umls:C0042900,umls:C0042900,Vitiligo,10/250,208/17381,0.000884255,0.018768737,0.014399935,HAVCR2/CTLA4/IFNG/CLNK/PTPN22/FASLG/HMOX1/SLA/PRDX5/CAT,10
umls:C0026640,umls:C0026640,Mouth Neoplasms,10/250,210/17381,0.000951156,0.019240171,0.014761633,GAPDH/TNFRSF1B/FASLG/TYMP/HMOX1/TPI1/ANXA5/CTNNB1/MCL1/CAT,10
umls:C0024054,umls:C0024054,Lown-Ganong-Levine Syndrome,3/250,14/17381,0.000951741,0.019240171,0.014761633,CTLA4/IFNG/STAT3,3
umls:C0010823,umls:C0010823,Cytomegalovirus Infections,9/250,174/17381,0.000952209,0.019240171,0.014761633,PDCD1/CTLA4/CXCR6/ENTPD1/IFNG/KIR2DL4/RNF19A/IFI16/STAT3,9
umls:C0026936,umls:C0026936,Mycoplasma Infections,6/250,79/17381,0.000964762,0.019240171,0.014761633,GAPDH/IL2RB/TNFRSF1B/KIF20B/CASP3/IRF9,6
umls:C3539878,umls:C3539878,Triple Negative Breast Neoplasms,16/250,456/17381,0.000966742,0.019240171,0.014761633,PDCD1/DUSP4/MIR155/VCAM1/IL2RB/EPSTI1/CCND2/NEDD9/PTPN11/TFRC/PKM/STAT3/ANXA5/ACSL4/GATA3/MCL1,16
umls:C0027662,umls:C0027662,Multiple Endocrine Neoplasia,5/250,53/17381,0.000966754,0.019240171,0.014761633,SARDH/PTPN11/STAT3/PRKAR1A/AIP,5
umls:C0020626,umls:C0020626,Hypoparathyroidism,4/250,31/17381,0.000968674,0.019240171,0.014761633,CTLA4/PTPN22/PRKAR1A/GATA3,4
umls:C0006274,umls:C0006274,"Bronchiolitis, Viral",10/250,211/17381,0.000986132,0.01940888,0.014891072,HAVCR2/CTLA4/IFNG/CXCL13/VCAM1/IL2RB/TNFRSF1B/STAT3/IRF9/GATA3,10
umls:C1318544,umls:C1318544,M5b Acute differentiated monocytic leukemia,6/250,80/17381,0.00103064,0.020102119,0.015422946,CCL3/CSF1/VCAM1/HMOX1/TFRC/CALM3,6
umls:C0003130,umls:C0003130,Anoxia,13/250,332/17381,0.001082232,0.020755901,0.015924547,ENTPD1/CSF1/SARDH/IFNG/GAPDH/VCAM1/TNFAIP3/TYMP/HMOX1/PARK7/CASP3/STAT3/ARNT,13
umls:C1709246,umls:C1709246,Non-Neoplastic Disorder,16/250,461/17381,0.001083333,0.020755901,0.015924547,CTLA4/IFNG/MIR155/TNFAIP3/CCND2/PDLIM7/ABCG1/CASP3/STAT3/PRDX5/CTNNB1/GATA3/MCL1/LDHA/CAT/CTSB,16
umls:C0362046,umls:C0362046,Prediabetes syndrome,6/250,81/17381,0.001099919,0.020888811,0.016026519,CTLA4/HLA-DRA/IFNG/PTPN22/TET2/CAT,6
umls:C0278883,umls:C0278883,Metastatic melanoma,13/250,333/17381,0.001112086,0.020936227,0.016062899,HAVCR2/PDCD1/CTLA4/PHLDA1/IFNG/GAPDH/CD200/CD82/CD63/STAT3/PRDX5/CALM3/CTSB,13
umls:C0220641,umls:C0220641,Lip and Oral Cavity Carcinoma,15/250,419/17381,0.001135455,0.021191895,0.016259055,PHLDA1/TNFRSF1B/CD82/FASLG/HMOX1/BTG3/PTPN11/TFRC/CTNNA1/CASP3/PRKAR1A/ANXA5/MCL1/CAT/CTSB,15
umls:C0011311,umls:C0011311,Dengue Fever,9/250,179/17381,0.001162092,0.021386777,0.016408574,CTLA4/CCL3/IFNG/VCAM1/HMOX1/BST2/PTPN11/OAS3/GATA3,9
umls:C0079773,umls:C0079773,"Lymphoma, T-Cell, Cutaneous",11/250,254/17381,0.001165653,0.021386777,0.016408574,CTLA4/TOX/IFNG/MIR155/TNFAIP3/FASLG/AHI1/PTPN11/STAT3/ANXA5/MCL1,11
umls:C0027697,umls:C0027697,Nephritis,8/250,145/17381,0.00120076,0.021845764,0.016760722,CTLA4/CCL3/MIR155/VCAM1/TNFRSF1B/TNFAIP3/CCND2/GATA3,8
umls:C0023646,umls:C0023646,Lichen Planus,4/250,33/17381,0.001231727,0.022038751,0.016908788,IFNG/MIR155HG/MIR155/VCAM1,4
umls:C0042165,umls:C0042165,Anterior uveitis,4/250,33/17381,0.001231727,0.022038751,0.016908788,CTLA4/CCL3/TNFRSF1B/PTPN22,4
umls:C0027540,umls:C0027540,Necrosis,5/250,56/17381,0.001242687,0.022052603,0.016919415,IFNG/GAPDH/FASLG/CAT/CTSB,5
umls:C0025500,umls:C0025500,Mesothelioma,14/250,381/17381,0.001291102,0.022725492,0.017435676,CXCR6/CSF1/IFNG/VCAM1/ACP5/HMOX1/ABCG1/EID1/CASP3/STAT3/CALM3/CTNNB1/EWSR1/CAT,14
umls:C0025517,umls:C0025517,Metabolic Diseases,14/250,383/17381,0.001356336,0.023681184,0.018168911,CXCR6/CD38/MIR155/WARS/TNFRSF1B/ARID5B/HMOX1/TPI1/CTNNA1/PKM/STAT3/PRKAR1A/CTNNB1/CAT,14
umls:C0036220,umls:C0036220,Kaposi Sarcoma,9/250,184/17381,0.001407904,0.023871761,0.018315128,CXCR6/IFNG/MIR155/WARS/TNFSF4/HMOX1/CASP3/STAT3/CTNNB1,9
umls:C0013080,umls:C0013080,Down Syndrome,16/250,473/17381,0.001412715,0.023871761,0.018315128,IFNG/SAMSN1/CD38/MIR155/GAPDH/HMOX1/ABCG1/BST2/MTHFD1/CASP3/STAT3/MX1/MAD2L2/LSM2/PSMA5/CAT,16
umls:C0001175,umls:C0001175,Acquired Immunodeficiency Syndrome,8/250,149/17381,0.001429183,0.023871761,0.018315128,CXCR6/CCL3/ENTPD1/IFNG/HLA-DMA/APOBEC3G/FASLG/PDLIM7,8
umls:C0002874,umls:C0002874,Aplastic Anemia,8/250,149/17381,0.001429183,0.023871761,0.018315128,HAVCR2/PDCD1/IFNG/TNFRSF1B/FASLG/STAT3/GATA3/TET2,8
umls:C0152026,umls:C0152026,Retinal Vasculitis,3/250,16/17381,0.001433408,0.023871761,0.018315128,IFNG/PTPN22/TRAF5,3
umls:C0242526,umls:C0242526,"Gonadal Dysgenesis, 45,X",3/250,16/17381,0.001433408,0.023871761,0.018315128,GAPDH/PTPN22/BCL2L11,3
umls:C0238461,umls:C0238461,Anaplastic thyroid carcinoma,10/250,223/17381,0.001494528,0.024699638,0.0189503,RNF19A/LIMK1/CASP3/PKM/STAT3/PRKAR1A/CTNNB1/LDHA/CAT/CTSB,10
umls:C0020523,umls:C0020523,Immediate hypersensitivity,7/250,117/17381,0.001517888,0.024895658,0.019100692,CTLA4/HLA-DRA/IFNG/ICOS/VCAM1/IRF2/GATA3,7
umls:C0004031,umls:C0004031,"Aspergillosis, Allergic Bronchopulmonary",3/250,17/17381,0.001722178,0.027816335,0.021341523,IFNG/GAPDH/CAT,3
umls:C1849193,umls:C1849193,PEELING SKIN SYNDROME,3/250,17/17381,0.001722178,0.027816335,0.021341523,CD27/IFNG/CD70,3
umls:C0019158,umls:C0019158,Hepatitis,11/250,267/17381,0.001734506,0.027816335,0.021341523,CTLA4/IFNG/VCAM1/APOBEC3G/FASLG/HMOX1/AHI1/CASP3/STAT3/CTNNB1/CAT,11
umls:C0032131,umls:C0032131,Plasmacytoma,6/250,89/17381,0.001790758,0.028507294,0.021871647,CD27/PRDM1/FKBP1A/CCND2/MCL1/CAT,6
umls:C0002875,umls:C0002875,Cooley's anemia,5/250,61/17381,0.001826159,0.028858646,0.022141215,ENTPD1/IFNG/CD38/WARS/ACP5,5
umls:C0677607,umls:C0677607,Hashimoto Disease,7/250,121/17381,0.001841353,0.028887889,0.022163651,CTLA4/IFNG/PTPN22/FASLG/ATXN1/SEM1/IL21R,7
umls:C1561535,umls:C1561535,Creatinine finding,6/250,90/17381,0.001896018,0.029531506,0.022657453,CXCL13/FASLG/TRPS1/ATXN1/PRKCH/GATA3,6
umls:C0040128,umls:C0040128,Thyroid Diseases,7/250,122/17381,0.001930004,0.029634462,0.022736444,CTLA4/ID3/ID2/PTPN22/FASLG/STAT3/CTSB,7
umls:C0079774,umls:C0079774,Peripheral T-Cell Lymphoma,7/250,122/17381,0.001930004,0.029634462,0.022736444,CXCL13/IL2RB/ID2/PDLIM7/GATA3/TET2/MCL1,7
umls:C0238463,umls:C0238463,Papillary thyroid carcinoma,15/250,446/17381,0.002089998,0.031581456,0.024230236,CSF1/CREM/MIR155/PTGIS/FASLG/TYMP/RNF19A/CD63/STAT3/CALM3/PRKAR1A/CTNNB1/LDHA/CAT/CTSB,15
umls:C0023440,umls:C0023440,Acute Erythroblastic Leukemia,9/250,195/17381,0.002096857,0.031581456,0.024230236,CXCR6/SRGN/ID3/FUT8/TFRC/SPTAN1/STAT3/MCL1/SRI,9
umls:C1802398,umls:C1802398,"Chromosome 5, trisomy 5q",4/250,38/17381,0.002100568,0.031581456,0.024230236,CSF1/ATXN1/ANXA5/TET2,4
umls:C0018133,umls:C0018133,Graft-vs-Host Disease,12/250,317/17381,0.002210324,0.033002431,0.02532045,CTLA4/CD27/IFNG/KIR2DL4/ICOS/MIR155/VCAM1/TNFRSF1B/FASLG/TYMP/IL21R/TET2,12
umls:C1847835,umls:C1847835,VITILIGO-ASSOCIATED MULTIPLE AUTOIMMUNE DISEASE SUSCEPTIBILITY 1 (finding),8/250,160/17381,0.002238749,0.033197893,0.025470414,HAVCR2/CTLA4/IFNG/PTPN22/FASLG/HMOX1/PRDX5/CAT,8
umls:C3495801,umls:C3495801,Granulomatosis with polyangiitis,5/250,64/17381,0.002260351,0.033290203,0.025541237,CTLA4/IFNG/ACP5/PTPN22/TNFAIP3,5
umls:C0524910,umls:C0524910,"Hepatitis C, Chronic",15/250,451/17381,0.002325076,0.033835655,0.025959725,CTLA4/IFNG/KIR2DL4/OASL/FASLG/RNF19A/HMOX1/TFRC/MAPKAPK3/CASP3/STAT3/MX1/IRF2/IRF9/TBK1,15
umls:C0376545,umls:C0376545,Hematologic Neoplasms,16/250,497/17381,0.002328643,0.033835655,0.025959725,IFNG/KIR2DL4/CD38/TNFRSF1B/PTPN22/FASLG/CCND2/CD70/PDLIM7/PTPN11/STAT3/CALM3/PRKAR1A/IL21R/TET2/MCL1,16
umls:C2745900,umls:C2745900,Promyelocytic leukemia,10/250,238/17381,0.002410142,0.034769952,0.026676545,SRGN/IFNG/ASB2/ACP5/FASLG/PLSCR1/TFRC/CASP3/PRDX5/IRF9,10
umls:C0007115,umls:C0007115,Malignant neoplasm of thyroid,15/250,453/17381,0.002425064,0.034769952,0.026676545,CREM/ID3/GAPDH/RNF19A/CCND2/PLPP1/PDLIM7/LIMK1/PKM/STAT3/PRKAR1A/CTNNB1/GSTO1/LDHA/CAT,15
umls:C0024534,umls:C0024534,"Malaria, Cerebral",6/250,95/17381,0.002494187,0.035525751,0.027256417,HAVCR2/IFNG/VCAM1/TNFRSF1B/HMOX1/TBK1,6
umls:C0032064,umls:C0032064,Plague,4/250,40/17381,0.002543036,0.035984793,0.027608607,PTPN22/RAB27A/PSTPIP1/MCL1,4
umls:C0027708,umls:C0027708,Nephroblastoma,12/250,325/17381,0.002710697,0.03810818,0.029237734,PHLDA1/IFNG/ACTN4/FASLG/IFI16/CCND2/CTNNA1/STAT3/CTNNB1/TET2/EWSR1/CAT,12
umls:C0024302,umls:C0024302,Reticulosarcoma,4/250,41/17381,0.002786564,0.038534235,0.029564616,IFNG/ACP5/PDLIM7/CASP3,4
umls:C1832588,umls:C1832588,Chromosome 11p11.2 Deletion Syndrome,3/250,20/17381,0.002796758,0.038534235,0.029564616,CD27/IFNG/CD70,3
umls:C0027022,umls:C0027022,Myeloproliferative disease,10/250,243/17381,0.002799942,0.038534235,0.029564616,IFNG/MIR155/IL2RB/TNFRSF1B/ABCG1/PTPN11/TFRC/STAT3/TET2/BLOC1S2,10
umls:C0035412,umls:C0035412,Rhabdomyosarcoma,13/250,370/17381,0.002812198,0.038534235,0.029564616,IFNG/HLA-DMA/PTPN22/PAM/RNF19A/RBPJ/CCND2/PTPN11/TFRC/CASP3/MCL1/LDHA/EWSR1,13
umls:C0011603,umls:C0011603,Dermatitis,8/250,168/17381,0.003026115,0.041204647,0.031613436,IFNG/VCAM1/PTPN22/HMOX1/IL21R/PSTPIP1/GATA3/CAT,8
umls:C0543697,umls:C0543697,Mixed cryoglobulinemia,4/250,42/17381,0.003045591,0.041210651,0.031618042,CD27/IFNG/CXCL13/MIR155,4
umls:C0006845,umls:C0006845,"Candidiasis, Chronic Mucocutaneous",3/250,21/17381,0.003228509,0.042361946,0.032501349,IFNG/PTPN22/STAT3,3
umls:C0037023,umls:C0037023,Sialadenitis,3/250,21/17381,0.003228509,0.042361946,0.032501349,PDCD1/CTLA4/FASLG,3
umls:C0521857,umls:C0521857,Increased drug resistance,3/250,21/17381,0.003228509,0.042361946,0.032501349,PDLIM7/MCL1/SRI,3
umls:C0549493,umls:C0549493,Alveolitis,3/250,21/17381,0.003228509,0.042361946,0.032501349,CCL3/IL2RB/TNFRSF1B,3
umls:C2697636,umls:C2697636,Hyperdiploid B Acute Lymphoblastic Leukemia,3/250,21/17381,0.003228509,0.042361946,0.032501349,ARID5B/PTPN11/STAT3,3
umls:C0037284,umls:C0037284,Skin lesion,5/250,70/17381,0.003347075,0.043653117,0.033491974,TOX/IFNG/MIR155/IL21R/MCL1,5
umls:C0151526,umls:C0151526,Premature Birth,11/250,292/17381,0.003460952,0.044868033,0.034424094,CTLA4/CCL3/CSF1/IFNG/IL2RB/TNFRSF1B/PTPN22/FASLG/PON2/MTHFD1/CAT,11
umls:C1959635,umls:C1959635,Parvovirus B19 (disease),4/250,44/17381,0.003612009,0.046547614,0.035712719,IFNG/PTPN11/CASP3/LSM2,4
umls:C0262985,umls:C0262985,Psoriasiform eczema,3/250,22/17381,0.003698917,0.047106793,0.036141738,PDCD1/IFNG/GATA3,3
umls:C0263680,umls:C0263680,Chronic arthritis,3/250,22/17381,0.003698917,0.047106793,0.036141738,NR4A2/CXCL13/NFAT5,3
umls:C0878544,umls:C0878544,Cardiomyopathies,15/250,475/17381,0.00378049,0.047864097,0.036722764,CTLA4/DUSP4/SARDH/IFNG/GAPDH/WARS/CTSD/FASLG/HMOX1/PTPN11/STAT3/SCO2/LDHA/CAT/SRI,15
